time,n_iter,distance,n_round,sigma,sigma_GKP,sigma_idle,with_info,method,X_err_rate,Z_err_rate,Y_err_rate,avg_n_measure
260506_152956,50000,3,3,0.0867,0.0000,0.0867,True,default_tracking_old,0.006740000000000,0.006180000000000,0.000060000000000,24.0
260506_152958,50000,3,3,0.0933,0.0000,0.0933,True,default_tracking_old,0.018820000000000,0.017840000000000,0.000280000000000,24.0
260506_153026,10000,3,3,0.1200,0.0000,0.1200,True,default_tracking_old,0.164800000000000,0.160500000000000,0.038600000000000,24.0
260506_152945,100000,3,3,0.0600,0.0000,0.0600,True,default_tracking_old,0.000000000000000,0.000000000000000,0.000000000000000,24.0
260506_153040,10000,3,3,0.1000,0.1000,0.1000,True,default_tracking_old,0.102700000000000,0.096200000000000,0.011100000000000,24.0
260506_152946,100000,3,3,0.0667,0.0000,0.0667,True,default_tracking_old,0.000000000000000,0.000010000000000,0.000000000000000,24.0
260506_153041,10000,3,3,0.1067,0.1067,0.1067,True,default_tracking_old,0.151900000000000,0.149200000000000,0.030000000000000,24.0
260506_152953,100000,3,3,0.0800,0.0000,0.0800,True,default_tracking_old,0.001760000000000,0.001420000000000,0.000000000000000,24.0
260506_152956,100000,3,3,0.0733,0.0000,0.0733,True,default_tracking_old,0.000260000000000,0.000200000000000,0.000000000000000,24.0
260506_153052,10000,3,3,0.1133,0.1133,0.1133,True,default_tracking_old,0.188500000000000,0.182800000000000,0.059700000000000,24.0
260506_153055,10000,3,3,0.1200,0.1200,0.1200,True,default_tracking_old,0.216400000000000,0.217600000000000,0.099300000000000,24.0
260506_153031,50000,3,3,0.0867,0.0867,0.0867,True,default_tracking_old,0.025740000000000,0.025620000000000,0.000540000000000,24.0
260506_153035,50000,3,3,0.0933,0.0933,0.0933,True,default_tracking_old,0.055220000000000,0.061040000000000,0.004280000000000,24.0
260506_153026,100000,3,3,0.0600,0.0600,0.0600,True,default_tracking_old,0.000050000000000,0.000010000000000,0.000000000000000,24.0
260506_153026,100000,3,3,0.0667,0.0667,0.0667,True,default_tracking_old,0.000370000000000,0.000250000000000,0.000000000000000,24.0
260506_153026,100000,3,3,0.0800,0.0800,0.0800,True,default_tracking_old,0.008970000000000,0.008690000000000,0.000130000000000,24.0
260506_153026,100000,3,3,0.0733,0.0733,0.0733,True,default_tracking_old,0.002430000000000,0.002190000000000,0.000010000000000,24.0
260506_154011,10000,5,5,0.0000,0.2000,0.0000,True,adaptive_global_success_one_zero_old,0.012500000000000,0.010600000000000,0.000600000000000,30.9492
260506_154037,10000,5,5,0.0000,0.2133,0.0000,True,adaptive_global_success_one_zero_old,0.040200000000000,0.037600000000000,0.002500000000000,41.0844
260506_154041,10000,5,5,0.0000,0.2267,0.0000,True,adaptive_global_success_one_zero_old,0.092000000000000,0.090000000000000,0.015200000000000,51.4608
260506_153923,50000,5,5,0.0000,0.1733,0.0000,True,adaptive_global_success_one_zero_old,0.000380000000000,0.000220000000000,0.000000000000000,14.71728
260506_154044,10000,5,5,0.0000,0.2400,0.0000,True,adaptive_global_success_one_zero_old,0.158600000000000,0.152200000000000,0.047500000000000,61.3512
260506_154002,50000,5,5,0.0000,0.1867,0.0000,True,adaptive_global_success_one_zero_old,0.002280000000000,0.002480000000000,0.000020000000000,22.002
260506_154137,10000,5,5,0.1000,0.0000,0.1000,True,adaptive_global_success_one_zero_old,0.057200000000000,0.049800000000000,0.004400000000000,43.2132
260506_153855,100000,5,5,0.0000,0.1200,0.0000,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,0.30972
260506_153904,100000,5,5,0.0000,0.1467,0.0000,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,3.71988
260506_153903,100000,5,5,0.0000,0.1333,0.0000,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,1.26828
260506_154216,10000,5,5,0.1067,0.0000,0.1067,True,adaptive_global_success_one_zero_old,0.128900000000000,0.119900000000000,0.021500000000000,56.4828
260506_153913,100000,5,5,0.0000,0.1600,0.0000,True,adaptive_global_success_one_zero_old,0.000060000000000,0.000040000000000,0.000000000000000,8.37264
260506_154219,10000,5,5,0.1133,0.0000,0.1133,True,adaptive_global_success_one_zero_old,0.195800000000000,0.185500000000000,0.064100000000000,68.2644
260506_154126,50000,5,5,0.0867,0.0000,0.0867,True,adaptive_global_success_one_zero_old,0.002520000000000,0.002560000000000,0.000020000000000,22.78632
260506_154130,50000,5,5,0.0933,0.0000,0.0933,True,adaptive_global_success_one_zero_old,0.016040000000000,0.015740000000000,0.000280000000000,32.36856
260506_154256,10000,5,5,0.1200,0.0000,0.1200,True,adaptive_global_success_one_zero_old,0.230200000000000,0.232500000000000,0.134200000000000,78.8064
260506_154046,100000,5,5,0.0600,0.0000,0.0600,True,adaptive_global_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,1.84872
