time,n_iter,distance,n_round,sigma,sigma_GKP,sigma_idle,with_info,method,X_err_rate,Z_err_rate,Y_err_rate,avg_n_measure
260512_191547,100000,7,7,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000010000000000,0.000010000000000,0.000000000000000,7.46568
260512_192126,100000,9,9,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,3.9328
260512_192129,100000,9,9,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000020000000000,0.000000000000000,0.000000000000000,4.0244
260512_192123,100000,9,9,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,3.8784
260512_192256,100000,9,9,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,4.01
260512_192514,100000,9,9,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000010000000000,0.000000000000000,0.000000000000000,4.0168
260512_192602,100000,9,9,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000010000000000,0.000000000000000,3.9768
260512_192636,100000,9,9,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,3.996
260512_194414,100000,9,9,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,3.976
260512_194409,100000,9,9,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000010000000000,0.000010000000000,0.000000000000000,3.9908
260512_194415,100000,9,9,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,3.9228
260512_194619,100000,9,9,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,4.0864
260512_194800,100000,9,9,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000010000000000,0.000000000000000,0.000000000000000,3.8896
260512_194854,100000,9,9,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000010000000000,0.000010000000000,0.000000000000000,4.0324
260512_194924,100000,9,9,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,3.9312
260512_195829,100000,9,9,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000010000000000,0.000000000000000,0.000000000000000,3.9696
260512_200648,100000,9,9,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,4.0436
260512_200713,100000,9,9,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,3.9696
260512_200755,100000,9,9,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000010000000000,0.000000000000000,0.000000000000000,4.1244
260512_200907,100000,9,9,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000010000000000,0.000000000000000,3.9352
260512_201123,100000,9,9,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000010000000000,0.000020000000000,0.000000000000000,4.0136
260512_201202,100000,11,11,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000010000000000,0.000000000000000,1.0902
260512_201135,100000,11,11,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,1.1526
260512_201524,100000,11,11,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000010000000000,0.000000000000000,1.0524
260512_202120,100000,11,11,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,1.143
260512_202952,100000,11,11,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,1.1142
260512_203000,100000,11,11,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,1.0884
260512_203020,100000,11,11,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,1.1958
260512_203142,100000,11,11,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,1.1706
260512_203350,100000,11,11,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,1.134
260512_203725,100000,11,11,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,1.1472
260512_205902,100000,11,11,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,1.098
260512_210003,100000,11,11,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,1.1412
260512_210322,100000,11,11,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000010000000000,0.000000000000000,1.1736
260512_210455,100000,11,11,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000020000000000,0.000000000000000,1.1802
260512_210855,100000,11,11,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,1.1532
260512_211721,100000,11,11,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,1.1214
260512_211746,100000,11,11,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000010000000000,0.000010000000000,0.000000000000000,1.137
260512_211836,100000,11,11,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000010000000000,0.000000000000000,1.149
260512_211737,100000,11,11,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000010000000000,0.000000000000000,0.000000000000000,1.0764
260512_212146,100000,11,11,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000010000000000,0.000000000000000,1.1022
260512_212549,100000,11,11,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,1.1394
260512_214646,100000,11,11,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,1.1682
260512_214736,100000,11,11,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,1.1268
260512_215129,100000,11,11,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,1.1304
260512_215235,100000,13,13,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,0.19488
260512_215639,100000,13,13,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,0.20832
260512_220430,100000,13,13,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,0.19152
260512_220629,100000,13,13,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000010000000000,0.000000000000000,0.000000000000000,0.18228
260512_220547,100000,13,13,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,0.168
260512_220701,100000,13,13,0.0825,0.0825,0.0583,True,adaptive_global_joint_success_one_zero_old,0.000000000000000,0.000000000000000,0.000000000000000,0.19488
