time,n_iter,distance,n_round,sigma,sigma_GKP,sigma_idle,with_info,method,X_err_rate,Z_err_rate,Y_err_rate,avg_n_measure
260604_123830,100000,3,50,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_3-6-9-12-15-18-21-24-27-30-33-36-39-42-45-48-50,0.031360000000000,0.030860000000000,0.001130000000000,128.0
260604_125134,100000,5,14,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_5-10-14,0.001320000000000,0.001300000000000,0.000000000000000,48.0
260604_125112,100000,5,14,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_5-10-14,0.001310000000000,0.001240000000000,0.000000000000000,90.14148
260604_123631,100000,3,50,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_3-6-9-12-15-18-21-24-27-30-33-36-39-42-45-48-50,0.026110000000000,0.024610000000000,0.000610000000000,172.22828
260604_125309,100000,5,15,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_5-10-15,0.001530000000000,0.001380000000000,0.000000000000000,48.0
260604_125151,100000,5,15,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_5-10-15,0.001250000000000,0.001420000000000,0.000000000000000,92.58288
260604_125349,100000,5,16,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_5-10-15-16,0.001900000000000,0.001990000000000,0.000000000000000,72.0
260604_125331,100000,5,16,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_5-10-15-16,0.001960000000000,0.001590000000000,0.000000000000000,116.7504
260604_125604,100000,5,17,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_5-10-15-17,0.002560000000000,0.002640000000000,0.000010000000000,72.0
260604_125654,100000,5,18,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_5-10-15-18,0.002950000000000,0.002920000000000,0.000000000000000,72.0
260604_125447,100000,5,17,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_5-10-15-17,0.002120000000000,0.002200000000000,0.000000000000000,125.15856
260604_125801,100000,5,19,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_5-10-15-19,0.002880000000000,0.003130000000000,0.000010000000000,72.0
260604_125645,100000,5,18,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_5-10-15-18,0.002270000000000,0.002220000000000,0.000000000000000,129.29124
260604_125958,100000,5,20,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_5-10-15-20,0.003130000000000,0.003050000000000,0.000010000000000,72.0
260604_125751,100000,5,19,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_5-10-15-19,0.002430000000000,0.002700000000000,0.000000000000000,132.1416
260604_125802,100000,5,20,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_5-10-15-20,0.002590000000000,0.002720000000000,0.000000000000000,134.78928
260604_130104,100000,5,21,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_5-10-15-20-21,0.003610000000000,0.003630000000000,0.000010000000000,96.0
260604_130141,100000,5,22,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_5-10-15-20-22,0.003820000000000,0.004260000000000,0.000030000000000,96.0
260604_130336,100000,5,23,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_5-10-15-20-23,0.004470000000000,0.004570000000000,0.000020000000000,96.0
260604_130036,100000,5,21,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_5-10-15-20-21,0.003060000000000,0.002960000000000,0.000010000000000,158.67528
260604_130410,100000,5,24,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_5-10-15-20-24,0.004500000000000,0.004820000000000,0.000020000000000,96.0
260604_130103,100000,5,22,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_5-10-15-20-22,0.003180000000000,0.003100000000000,0.000000000000000,167.17824
260604_130810,100000,5,25,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_5-10-15-20-25,0.004610000000000,0.004850000000000,0.000010000000000,96.0
260604_130229,100000,5,23,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_5-10-15-20-23,0.003470000000000,0.003120000000000,0.000030000000000,171.61668
260604_130341,100000,5,24,0.0785,0.0785,0.0555,True,adaptive_round_global_joint_success_parity_zero_TARGET_5-10-15-20-24,0.003550000000000,0.003340000000000,0.000060000000000,174.14604
260604_131043,100000,5,26,0.0785,0.0785,0.0555,True,skip_round_zero_TARGET_5-10-15-20-25-26,0.005860000000000,0.005480000000000,0.000030000000000,120.0
